Compensation,Address,Title,Employment Type,URL,Description
1BR,1615 rue sauve est,Charmant 3 1/2 - Près MÉTRO Sauvé  Balcon Très Propre - Pour Décembre!,,https://montreal.craigslist.ca/apa/d/charmantprs-mtro-sauv-balcon/6342685294.html,"Libre pour Décembre - Chats acceptés

$565 par mois / NON chauffé, NON éclairé 
Poêle et Frigo inclus.
Pas D'ascenseur.
Balcon sur cours arrière
Beaucoup de rangements
Cuisine et salon a aire ouverte. Lumineux.

Stationnement sur rue facile. 
Transport en commun très accessible - Autobus 121, 45 ou 146, métro Sauvé ou Fabre.

Buanderie dans l'immeuble - pas d'entrée pour les électros dans le logement.

Appeler Sophie au 
 
."
1BR,,Great 4 1/2 plateau,,https://montreal.craigslist.ca/apa/d/greatplateau/6342657126.html,"(English will follow)

Cession de bail d'un charmant petit 4 et demi (cuisine et salle à manger reliée ainsi que grande pièce double pouvant être séparée par des rideaux pour faire une chambre et un salon ou bureau) situé à 45 secondes à pieds du Parc Laurier, à louer pour décembre 2017. Idéal pour personne seule ou pour un couple.

L'appartement est au premier étage avec une jolie cour arrière privée. Plancher de bois franc, hauts plafonds (9 pieds 1/2) et bain sur pattes !

Le logement est situé sur la rue Chambord, dans un des quartiers les plus agréables de Montréal (Petit Laurier) et est à proximité de tous les services (Épicerie à 20 secondes à pieds ; SAQ, guichet Desjardins, pharmacie, boulangerie, restaurants et cafés tous à moins de 2 minutes à pieds !!). 

L'appartement est semi-meublé (frigo, poêle). Il y a une entrée pour laveuse mais pas de sortie pour sécheuse (il y un landromat au coin de la rue)

830$, sans les charges (hydro + gaz-métro).

Références demandées par le propriétaire

Faites-vite :) 


---

Lease to transfer, for december 1st : small and charming 4 and half (two doublerooms : bedroom + livingroom/office and kitchen + dining room), located near the beautiful Parc Laurier. Perfect for one person or for a couple.

The apartment is on the lower storey, with acces to a cute private yard. Hard wooden floors, big bathtub and 9 1/2 feet ceilings !

On Chambord Street (Petit Laurier) you'll find everything you need : Grocerie store (Metro), SAQ, Desjardins, Jean-Coutu, bakery, coffee shops and many more assets !

Oven and fridge furnished.

830$ without the charges (hydro, gaz-metro)

Write to us for an apointment !"
2BR,C.D.N.,"CHATEAU DECELLES ,  2 chambres, 2sdb, chauff,elect.inclus",1335,https://montreal.craigslist.ca/apa/d/chateau-decelles-2-chambres/6342658524.html,"CHATEAU DECELLES ,  2 chambres, 2sdb, chauff,elect.inclus
4911 Ch. de la Côte-des-Neiges, Montreal,H3V1H7
Exceptionnel condo, 124m2 (1335pi2) avec 2 grands chambres a coucher et 2 salles de bains.
Salon et salle a manger a aire ouverte, 2 balcons.
Immeuble tres securitaire et bien entretenu.
Extremement bien situe pres de: L'UNIVERSITE DE MONTREAL, HEC MONTREAL, COLLEGE MARIE DE FRANCE, METRO ET CENTRE-VILLE. 

Inclus :chauffage,electricite, 
refrigerateur, poele, lave-vaisselle, , air conditionne, piscine interieure, sauna, acces au jardin prive, un espace de garage, casier et services de concierge.

Addenda:
Le locataire doit prevoir un depot de securite (1 mois de loyer), ainsi qu'une preuve d'assurance de locataire.
Toute promesse de location sera sujette a une verification de credit du locataire.
Un depot est requis sur l'acceptation d'une promesse de location.
Proximite : Universite, Transport en commun, Piste cyclable, Parc-espace vert, Hopital, Ecole secondaire, Ecole primaire, Cegep, Autre - Les Hopitaux, Autoroute/Voie rapide

Caracteristiques
Piscine : Interieure, Creusee
Salle de bains/salle d'eau : Attenante a la chambre principale
Stationnement : Au garage

Pieces :
Chambre					10.0 x 14.6 P
Chambre principale - acces au balcon 	12.0 x 18.6 P
Coin repas					  8.5 x 10.0 P
Cuisine					  8.5 x 10.0 P
Salle de bain					  5.0 x   7.5 P
Salle de bain					  5.0 x   7.9 P
Salon - acces au balcon			17.6 x 20.5 P

ENGLISH ==========================================

4911 Ch. de la Côte-des-Neiges - *CHATEAU DECELLES**
Heating & electricity included.
Outstanding condo apartment, 124m2 (1335pi2),2 large bedrooms, 2 full bathrooms, living room and dining room are open concept, 2 balconies.
Very well located, steps away from: UNIVERSITY OF MONTREAL, HEC MONTREAL, COLLEGE MARIE DE FRANCE, METRO, DOWNTOWN.
Well maintained and secure building.

Included:
Heating, electricity, fridge, stove, dishwasher, air conditioning, indoor pool, sauna, access in to the private garden, one garage space, locker room and janitorial services.

Addenda:
The tenant should anticipate security deposit payment (equal to one month of rent amount), as well as proof of tenant insurance policy will be required.
Any promise of lease is subject to tenant's credit verifications.
Upon acceptance of the promise to lease deposit shall be paid.
Proximity: University, Public transport, Park - green area, Other - Hospitals, Highway, High school, Elementary school, Cegep, Bicycle path

Features
Bathroom / Washroom: Adjoining to the master bedroom
Parking: Garage
Pool: Inground, Indoor

Rooms
Bathroom				  5.0 x   7.5 P
Bathroom				  5.0 x   7.9 P
Bedroom				10.0 x 14.6 P
Dinette				  8.5 x 10.0 P
Kitchen				  8.5 x 10.0 P
Living Room - balcony access	17.6 x 20.5 P
Master Bedroom - balcony access12.0 x 18.6 P"
1BR,Montreal,TRÈS GRAND 2 ½ PRÈS DU MÉTRO IBERVILLE 1er décembre,562,https://montreal.craigslist.ca/apa/d/trs-grand-2-prs-du-mtro/6342547380.html,"Luminosité exceptionnelle! Ancien 3½ récemment converti en logement aire libre style condo/loft (pas de pièces fermées) Parfait pour un couple ou une personne.

562 pieds² au dernier étage d'un triplex sur St-Zotique, très bien situé à 2 pas du village Beaubien. 10 minutes de marche du métro Iberville et 4 minutes de la ligne de bus 18 sur Beaubien.

-Beaux planchers de bois franc,
-Rénovations et fenestration récentes,
-2 puits de lumière.
-Salle de bain rénovée avec puit de lumière donnant sur la baignoire.
-2 balcons partagés avec le gentil voisin
-Cuisine avec beaucoup de rangement cabinets neufs.
-1 chat propre et tranquille accepté
-Semi-meublé (poêle et réfrigérateur) Pas d'entrées laveuse-sécheuse mais plusieurs buanderies à proximité

830 $ par mois. Hydro entre 55$ (été) et 175$ (hiver) par facture

Disponible pour le 1er décembre

Contactez-moi pour une visite"
3BR,Loyola,Lower 5 1/2 Duplex NDG,,https://montreal.craigslist.ca/apa/d/lowerduplex-ndg/6329477241.html,"Great location near schools, parks, buses and train. One bus ride to the MUHC. Large lower 5 1/2 in a quiet Duplex near Loyola Campus. 3 closed bedrooms and eat in kitchen Large back yard with wood deck ! The floors were just done and whole apartment painted. Unheated. Available immediately."
2BR,Rosemont,Top location clean property @ metro Beaubien,1300,https://montreal.craigslist.ca/apa/d/top-location-clean-property/6342655010.html,Excellent location at Metro Beaubien and next to all amenities. 2 bedrooms with large spacious basement and nice comfortable backyard. Very well-maintained property and very clean. Possibility for parking space. Great opportunity for a family or retired couple!
1BR,Mile end,Grand appart Rénové et Chauffe Une Mois gratuite !!mile end,800,https://montreal.craigslist.ca/apa/d/grand-appart-rnov-et-chauffe/6342612811.html,"A month Free !!
 
Grand appart rénové au Mile-End
 
English text at the end.
 

- Grandeur : 3 ½ (1 chambre à coucher)
- Cinquième étage d'un immeuble
- Autres : plancher de bois franc, balcon et chauffage à eau chaude
- Loyer : 1300 $/mois (bail de 12 mois) incluant le chauffage, un poêle et un frigo
- Disponibilité : 1 novembre 2017
 

- Emplacement : rue St-Joseph / Rue Hutchison
- Quartier : Mile-End
- Buanderie dans l'immeuble
 

- Métro : Laurier (ligne orange) et Outremont (ligne bleu) à 10 minutes de marche
- Centre-ville : autobus 80 sur l'avenue du parc en face du bâtiment
- Université de Montréal, Polytechnique  et HEC : autobus 51 sur la rue Laurier (5 minutes de marche)
- Université McGill : autobus 80 et autobus express 435 sur l'avenue du parc en face du bâtiment
 

- Métro : Laurier (ligne orange) et Outremont (ligne bleu)
- Épicerie : PA, supermarché 4 frères, fruiterie Mile-End et Latina
- Rue commerciale : St-Viateur, Bernard et Laurier
- Autres : bibliothèque Mile-End, YMCA, parc du Mont-Royal et parc Outremont
 
Pour plus de renseignements, veuillez contacter Dragos au 
 
.
 
-----------------------------------------------------
 

- Type: 3 ½ (1 bedroom)
- Fifth floor of a building
- Other: hardwood flooring, balcony and hot water heating
- Rent: 1300 $/month (lease of 12 months) including the heating, a stove and a fridge
- Availability: November 1, 2017
 

- Location: St-Joseph Street / Hutchison Street
- Neighbourhood: Mile-End
- Laundry room in the building
 

- Metro: Laurier (orange line) and Outremont (blue line) at 10 minutes walking
- Downtown: 80 bus on park Avenue in front of the building
- University of Montreal, Polytechnic and HEC: 51 bus on Laurier street at 5 minutes walking
- University McGill: 80 bus and 435 bus express on park Avenue in front of the building
 

- Metro: Laurier (orange line) and Outremont (blue line)
- Grocery store: PA, Supermarché 4 frères, fruiterie Mile-End and Latina
- Commercial street: St-Viateur, Bernard and Laurier
- Other: Mile-End library, YMCA, Mount-Royal park and Outremont park
 
For more information, please call Dragos at 
 
."
1BR,N.D.G.,"N.D.G.- Superbement renove. Immense 3-1/2, 800pc, top floor,balcon",800,https://montreal.craigslist.ca/apa/d/ndg-superbement-renove/6342659768.html,"N.D.G.- Superbement renove. Immense 3-1/2, 800pc, top floor,balcon
NDG- Grand 3-1/2- Impeccable, renove.
Metro Villa Maria ou Snowdon
Disponible immediatement. 3-eme étage (top). 
Impeccable. Planchers de chene. Hauts plafonds. 
Chauffage et électricité non inclus : 74$/mois env. 
1 grande entree 9'x9'
1 Grande chambre 11'x14'
1 Enorme salon 14'x14' avec grande fenetre.
1 Cuisine rénovee  avec balcon. 
Frigidaire et cuisiniere inclus.
1 Salle de bain renovee.
Buanderie- Parking disponible.
Sixplex tranquille avec grand  jardin.
Ave. Avonmore (cul de sac), coin Ave Clanranald.  (H3X1Z3). 
Marchez au village de Monkland avec cafes et boutiques exclusives.
Desole, nous n'acceptons aucun animal.	

N.D.G.  Beautifully renovated, huge  3-1/2, 800sf, Top floor, balcony
NDG. Walk to metro Snowdon or Villa Maria.
Available now.  Just renovated. 800sf
High ceilings, oak floors. Impeccable. 
Electrical heating and electricity not included, ab. 74$/month.
1 large entrance  (9x9)  
1 large bedroom (11x14) 
1 huge living room (14x14) with large window.
1 renovated kitchen with balcony,  
Stove and fridge included.
1 renovated bathroom.
Laundry room- Parking availaible.
Sixplex with large garden. Quiet tenants.
Avonmore Av. (dead-end street) corner Clanranald Av. (H3X1Z3).
Walk to Monkland Village and to nice restos and exclusive store.
Sorry, dog or animals are not accepted."
1BR,5610 Decelles,"Grand/Large 3 1/2, 2 mois gratuit/2 months free, Cote-Des-Neiges",,https://montreal.craigslist.ca/apa/d/grand-largemois-gratuit-2/6342573967.html,"Inclus : Frigo, Cuisinière, Lave-vaisselle, Chauffage, Eau chaude, Piscine intérieure. Près du métro, bus, épicerie, restaurants, l'hôpital Ste-Justine, l'Hôpital général juif, l'Université de Montréal, HEC, Polytechnique. 
 

----------------------------- 
Including: Heating, hot water, fridge, Stove, dishwasher, Indoor Swimming Pool Close to metro, bus, grocery store, restaurants, Ste-Justine Hospital, Jewish General Hospital, Université de Montreal, HEC, Polytechnique."
1BR,6339 Rue St-Hubert,Loft Meublé Tout Inclus Métro Beaubien,450,https://montreal.craigslist.ca/apa/d/loft-meubl-tout-inclus-mtro/6342560892.html,"Bachelor  au deuxième étage comprend un salon-salle a dîner de , une chambre  à coucher une cuisine fermée habitable, une salle de bain complète avec céramique ,  une petite pièce avec entrée laveuse-sécheuse et entreposage et une petite hall d'entrée.Planchers de bois franc et céramique, linoléum dans la cuisine. Trois grandes armoires de rangement.Terrasse sur le toit avec vue imprenable.L'édifice est au coeur de la Plaza Saint Hubert, tout près du Métro Beaubien , des arrêts d'autobus et de tous les commerces et services.Il donne vers une zone verte  de stationnement à l'arrière et est parfaitement tranquille et insonorisé."
