Address,URL,Title
"Jamaica, Queens",https://newyork.craigslist.org/que/egr/d/project-architect/6342644865.html,Project Architect
"Jamaica, Queens",https://newyork.craigslist.org/que/egr/d/junior-architect/6342635637.html,Junior Architect
Long Island City,https://newyork.craigslist.org/que/egr/d/professionals-needed-to-share/6342634584.html,Professionals Needed to Share Prof'l/Law Suite
New York,https://newyork.craigslist.org/mnh/egr/d/junior-architect-draft-person/6342453101.html,Junior Architect/Draft person
Forest Hills,https://newyork.craigslist.org/que/egr/d/junior-and-intern-level/6342409803.html,Junior and Intern Level Architect
Upper West Side,https://newyork.craigslist.org/mnh/egr/d/intern-student-for-small-busy/6342069724.html,Intern student for small busy office.
BAYSIDE/FLUSHING,https://newyork.craigslist.org/que/egr/d/junior-architect-draftsperson/6341725843.html,JUNIOR ARCHITECT/DRAFTSPERSON
Midtown West,https://newyork.craigslist.org/mnh/egr/d/top-expediting-firm-immediate/6341693357.html,Top Expediting Firm- Immediate Hires- Asst. Project Mgr / Project Mgr
TriBeCa,https://newyork.craigslist.org/mnh/egr/d/mechanical-hvac-engineer/6341609889.html,Mechanical (HVAC) Engineer
Clinton Hill,https://newyork.craigslist.org/brk/egr/d/junior-architectural-designer/6341369523.html,"Junior Architectural Designer Position - Contracted, Part-Time"
Midtown,https://newyork.craigslist.org/mnh/egr/d/project-manager-kitchen-and/6341305647.html,PROJECT MANAGER - KITCHEN AND BATHROOM
Midtown West,https://newyork.craigslist.org/mnh/egr/d/junior-architect/6340964235.html,Junior Architect
,https://newyork.craigslist.org/brk/egr/d/hiring-expediters-class-2-and/6340866046.html,Hiring Expediters. Class 2 and Class 1 Filing Reps for DOB and ECB
"Norwalk, CT",https://newyork.craigslist.org/fct/egr/d/plumbing-and-fire-protection/6340691115.html,Plumbing and Fire Protection Engineer/Designer
"Norwalk, CT",https://newyork.craigslist.org/fct/egr/d/engineer-designer-electrical/6340687592.html,Engineer/Designer Electrical
"Norwalk, CT",https://newyork.craigslist.org/fct/egr/d/mechanical-hvac-engineer/6340680395.html,Mechanical/HVAC Engineer/Designer
TriBeCa,https://newyork.craigslist.org/mnh/egr/d/project-assistant-for-cgi/6340675670.html,PROJECT ASSISTANT for CGI Rendering & Animation Firm
Brooklyn,https://newyork.craigslist.org/brk/egr/d/seeking-real-estate-industry/6340611657.html,Seeking Real Estate Industry Mentors/Advisors//Subcontractors
NYC,https://newyork.craigslist.org/brk/egr/d/part-time-expeditor-wanted/6340592472.html,Part time expeditor wanted
,https://newyork.craigslist.org/brk/egr/d/architect-drafter/6340477843.html,Architect / Drafter
Downtown,https://newyork.craigslist.org/mnh/egr/d/dob-nyfd-m-applications/6340441399.html,"DOB, NYFD, L/M APPLICATIONS"
Chelsea,https://newyork.craigslist.org/mnh/egr/d/residential-project-architect/6340361018.html,Residential Project Architect -
,https://newyork.craigslist.org/mnh/egr/d/interior-design-project/6340348043.html,Interior Design Project Manager for Luxury Furniture Brand
Union Square,https://newyork.craigslist.org/mnh/egr/d/revit-architect-designer/6340334338.html,Revit Architect/Designer - Commercial/Institutional
Flatiron,https://newyork.craigslist.org/mnh/egr/d/revit-project-architect/6340325953.html,Revit Project Architect
"Bergen County, NJ",https://newyork.craigslist.org/jsy/egr/d/entry-level-position-at/6340219460.html,Entry Level Position at Architectural Firm
Bronx-Westchester,https://newyork.craigslist.org/wch/egr/d/looking-asphalt-concrete/6340148350.html,Looking asphalt/ concrete workers
Westchester,https://newyork.craigslist.org/wch/egr/d/construction-coordination/6339879007.html,Construction Coordination Associate
Midtown East,https://newyork.craigslist.org/mnh/egr/d/what-makes-great-assistant/6339851633.html,What makes a GREAT ASSISTANT/JUNIOR DESIGNER AT MY FIRM?
Midtown East,https://newyork.craigslist.org/mnh/egr/d/wanted-designer-for/6339844185.html,WANTED:  DESIGNER FOR RESIDENTIAL INTERIORS / DESIGN-BUILD
Upper East Side,https://newyork.craigslist.org/mnh/egr/d/junior-interior-design-with/6339840443.html,Junior Interior Design - with autocad for interior design/build
Brooklyn,https://newyork.craigslist.org/brk/egr/d/office-worker-wanted-with/6339790680.html,Office Worker wanted with knowledge of business/architect/blueprint
Brooklyn,https://newyork.craigslist.org/brk/egr/d/project-mechanical-engineer/6339585159.html,Project/Mechanical Engineer
Midtown West,https://newyork.craigslist.org/mnh/egr/d/midtown-boutique-property/6339562539.html,Midtown Boutique property looking for an ENGINEER
Princeton,https://newyork.craigslist.org/mnh/egr/d/architects/6339420410.html,Architects
,https://newyork.craigslist.org/mnh/egr/d/project-architect/6339408694.html,Project Architect
"Long Island City, Queens, NY",https://newyork.craigslist.org/que/egr/d/construction-site-supervisor/6339396492.html,***CONSTRUCTION SITE SUPERVISOR ****NYCSCA PROJECTS***
,https://newyork.craigslist.org/brk/egr/d/project-construction-manager/6339116920.html,Project/ Construction Manager
Staten Island,https://newyork.craigslist.org/stn/egr/d/architect-full-time-immediate/6339096405.html,Architect -Full Time-Immediate Hire
Midtown East,https://newyork.craigslist.org/mnh/egr/d/full-time-construction-office/6339028409.html,FULL TIME CONSTRUCTION OFFICE / PERSONAL ASSISTANT
,https://newyork.craigslist.org/wch/egr/d/tenant-build-out-oversight/6338940253.html,Tenant Build-out Oversight Engineer
Brooklyn,https://newyork.craigslist.org/brk/egr/d/estimator-project-manager/6338326125.html,Estimator / Project Manager
New York,https://newyork.craigslist.org/mnh/egr/d/civil-engineering-technology/6337852881.html,Civil Engineering Technology Position
,https://newyork.craigslist.org/brx/egr/d/draftsman/6337841367.html,Draftsman
Queens,https://newyork.craigslist.org/que/egr/d/hvac-assistant-project-manager/6337135265.html,HVAC Assistant Project Manager
SoHo,https://newyork.craigslist.org/mnh/egr/d/junior-intermediate-architect/6337098151.html,Junior/Intermediate Architect
"Melville, NY",https://newyork.craigslist.org/lgi/egr/d/project-engineer-project/6337014847.html,"Project Engineer/Project Manager-Industrial, Power, Waste"
Staten Island,https://newyork.craigslist.org/stn/egr/d/kitchen-and-bath-designer/6336747443.html,Kitchen and bath designer
NEW YORK,https://newyork.craigslist.org/que/egr/d/entry-level-architect/6335841148.html,ENTRY LEVEL ARCHITECT
